Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
131.3832004070282,5.624,0.97,92.0,520.0
132.38763165473938,5.62,1.02,102.0,560.0
133.39438366889954,5.62,0.92,94.0,520.0
134.39889430999756,5.624,0.94,94.0,520.0
135.4051673412323,5.616,1.04,105.0,580.0
136.4123034477234,5.624,0.94,93.0,520.0
137.4164798259735,5.62,0.93,94.0,520.0
138.42406511306763,5.616,1.05,105.0,580.0
139.42765188217163,5.624,0.94,92.0,520.0
140.4351887702942,5.624,0.91,94.0,520.0
141.43937730789185,5.62,1.07,107.0,580.0
142.4457926750183,5.62,0.93,93.0,520.0
143.45272994041443,5.62,0.93,93.0,520.0
144.45725893974304,5.62,1.06,107.0,580.0
145.4645800590515,5.616,1.06,103.0,580.0
146.46906447410583,5.62,0.92,93.0,520.0
147.47637128829956,5.616,1.01,106.0,580.0
148.48272848129272,5.616,1.03,103.0,580.0
149.48750710487366,5.624,0.95,100.0,560.0
150.49458479881287,5.616,1.08,107.0,580.0
151.49824047088623,5.616,1.05,106.0,580.0
152.5054211616516,5.616,1.04,107.0,580.0
153.51210379600525,5.616,1.07,106.0,580.0
154.51672077178955,5.62,0.94,94.0,520.0
155.523588180542,5.62,0.95,93.0,520.0
156.52828073501587,5.616,1.07,105.0,580.0
157.5350067615509,5.616,0.94,96.0,520.0
158.53978419303894,5.616,1.04,105.0,580.0
159.546480178833,5.616,1.03,107.0,580.0
160.5529065132141,5.624,0.94,94.0,520.0
161.557715177536,5.62,0.94,94.0,520.0
162.56405425071716,5.608,1.08,109.0,620.0
163.5687816143036,5.612,1.01,104.0,580.0
164.57621955871582,5.616,0.94,92.0,520.0
165.58297753334045,5.612,1.03,105.0,580.0
166.58699870109558,5.62,0.92,97.0,560.0
167.59402990341187,5.616,0.95,97.0,560.0
168.5983965396881,5.616,1.02,106.0,580.0
169.6051480770111,5.612,0.93,102.0,560.0
170.61218357086182,5.612,1.04,109.0,620.0
171.61709785461426,5.612,1.06,103.0,580.0
172.62394952774048,5.612,1.0,103.0,580.0
173.6280653476715,5.608,0.97,109.0,620.0
174.63480710983276,5.612,1.07,106.0,580.0
175.6419804096222,5.616,0.94,95.0,520.0
176.64643931388855,5.608,1.06,104.0,580.0
177.65319919586182,5.612,0.95,94.0,520.0
178.65724086761475,5.62,0.92,91.0,520.0
179.66452765464783,5.616,0.93,91.0,520.0
180.66907405853271,5.608,1.05,105.0,580.0
181.67591428756714,5.616,0.91,92.0,520.0
182.68290162086487,5.616,0.97,95.0,520.0
183.68654131889343,5.612,1.06,105.0,580.0
184.69391655921936,5.616,0.95,103.0,580.0
185.6981029510498,5.612,0.92,105.0,580.0
186.70562601089478,5.608,1.02,105.0,580.0
187.7123987674713,5.616,0.97,93.0,520.0
188.71649169921875,5.612,0.95,106.0,580.0
189.72360944747925,5.608,1.03,106.0,580.0
190.7282645702362,5.612,0.93,90.0,500.0
191.73433446884155,5.612,1.06,105.0,580.0
192.7390797138214,5.612,1.07,94.0,520.0
193.74645042419434,5.612,0.94,94.0,520.0
194.75267148017883,5.608,1.08,106.0,580.0
195.75717425346375,5.612,0.91,93.0,520.0
196.76435661315918,5.612,0.94,92.0,520.0
197.7690360546112,5.608,1.08,105.0,580.0
198.7755889892578,5.612,0.94,91.0,520.0
199.78204321861267,5.612,0.92,96.0,520.0
200.7870695590973,5.608,1.01,107.0,580.0
201.79333424568176,5.608,1.06,101.0,560.0
202.79822635650635,5.608,0.98,94.0,520.0
203.80493831634521,5.604,1.06,110.0,620.0
204.80931544303894,5.608,1.05,105.0,580.0
205.81632113456726,5.612,0.94,93.0,520.0
206.8236792087555,5.604,1.06,103.0,580.0
207.82738852500916,5.608,0.94,92.0,520.0
208.8343997001648,5.608,0.94,91.0,520.0
209.83898949623108,5.604,1.08,107.0,580.0
210.84627389907837,5.612,0.92,89.0,500.0
211.8532691001892,5.612,0.94,94.0,520.0
212.8571481704712,5.604,1.08,108.0,580.0
213.86363077163696,5.608,0.92,93.0,520.0
214.8683123588562,5.604,0.95,94.0,520.0
215.87549543380737,5.604,1.03,110.0,620.0
216.87980699539185,5.608,0.91,94.0,520.0
217.88639163970947,5.608,0.96,102.0,560.0
218.89327812194824,5.604,1.04,107.0,580.0
219.89773559570312,5.608,0.95,93.0,520.0
220.90502524375916,5.604,1.05,104.0,580.0
221.90931820869446,5.604,1.05,106.0,580.0
222.9166600704193,5.608,1.01,94.0,520.0
223.92310738563538,5.608,1.05,108.0,580.0
224.92772912979126,5.608,1.05,105.0,580.0
225.9340898990631,5.604,1.03,101.0,560.0
226.93838167190552,5.608,0.93,90.0,500.0
227.9453718662262,5.604,1.05,103.0,580.0
228.9526743888855,5.608,0.93,91.0,520.0
229.95728588104248,5.608,0.93,89.0,500.0
230.96444535255432,5.604,1.03,105.0,580.0
231.96820974349976,5.608,0.93,94.0,520.0
232.9754993915558,5.608,0.93,94.0,520.0
233.97930908203125,5.604,1.05,104.0,580.0
234.98636198043823,5.608,0.93,92.0,520.0
235.9932975769043,5.608,0.92,95.0,520.0
236.9982180595398,5.6,1.07,107.0,580.0
238.00448393821716,5.604,0.94,93.0,520.0
239.0092921257019,5.604,0.94,95.0,520.0
240.0162649154663,5.596,1.04,106.0,580.0
241.02005791664124,5.608,0.93,95.0,520.0
242.02767944335938,5.604,1.04,106.0,580.0
243.0341715812683,5.604,1.05,93.0,520.0
244.0382697582245,5.608,0.92,92.0,520.0
245.04589414596558,5.6,1.04,105.0,580.0
246.0504331588745,5.596,1.02,108.0,580.0
247.0575029850006,5.6,1.04,102.0,560.0
