Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
44.87510657310486,5.684,0.96,92.0,520.0
45.882866859436035,5.68,1.07,106.0,580.0
46.886746644973755,5.688,0.95,96.0,560.0
47.89363241195679,5.684,0.95,97.0,560.0
48.89813733100891,5.68,1.03,104.0,580.0
49.905558347702026,5.68,1.06,104.0,580.0
50.91159224510193,5.684,0.96,95.0,520.0
51.91700768470764,5.68,1.05,105.0,580.0
52.92361307144165,5.68,1.04,106.0,580.0
53.927831172943115,5.684,0.98,95.0,520.0
54.9346649646759,5.684,0.91,94.0,520.0
55.94107389450073,5.68,1.05,106.0,580.0
56.94615340232849,5.684,0.97,94.0,520.0
57.952752113342285,5.684,0.94,97.0,560.0
58.956632137298584,5.68,1.05,108.0,620.0
59.963754415512085,5.676,1.07,106.0,580.0
60.97121548652649,5.676,1.08,104.0,580.0
61.97586417198181,5.68,1.05,107.0,620.0
62.98228859901428,5.68,1.05,95.0,520.0
63.98673415184021,5.676,1.13,105.0,580.0
64.99321150779724,5.68,1.06,104.0,580.0
65.99812245368958,5.68,0.93,95.0,520.0
67.00504469871521,5.676,1.08,104.0,580.0
68.01160454750061,5.684,0.94,97.0,560.0
69.01649689674377,5.68,0.94,94.0,520.0
70.02349209785461,5.676,1.13,109.0,620.0
71.02739119529724,5.68,0.97,94.0,520.0
72.03479099273682,5.68,0.96,94.0,520.0
73.040851354599,5.676,1.07,109.0,620.0
74.04615545272827,5.676,0.91,96.0,560.0
75.05265593528748,5.676,0.92,94.0,520.0
76.05698037147522,5.672,1.07,105.0,580.0
77.06382465362549,5.68,0.95,94.0,520.0
78.06867980957031,5.676,0.97,97.0,560.0
79.07565355300903,5.676,1.05,105.0,580.0
80.08255410194397,5.676,0.93,93.0,520.0
81.08597159385681,5.676,0.94,108.0,620.0
82.09402394294739,5.672,1.07,104.0,580.0
83.09738874435425,5.676,0.95,93.0,520.0
84.10458374023438,5.676,0.95,103.0,580.0
85.11176013946533,5.668,1.07,107.0,620.0
86.11564183235168,5.672,1.02,96.0,560.0
87.12326693534851,5.676,0.93,94.0,520.0
88.12713742256165,5.672,1.1,106.0,580.0
89.13463258743286,5.68,0.97,94.0,520.0
90.13829112052917,5.672,1.07,105.0,580.0
91.14540529251099,5.668,1.07,106.0,580.0
92.15212678909302,5.676,0.92,94.0,520.0
93.15718150138855,5.676,0.93,96.0,560.0
94.1641571521759,5.672,1.06,107.0,620.0
95.16780042648315,5.672,0.95,95.0,520.0
96.17473936080933,5.676,1.03,103.0,580.0
97.18149375915527,5.672,1.04,105.0,580.0
98.18658304214478,5.676,0.94,94.0,520.0
99.19343185424805,5.672,0.97,94.0,520.0
100.1977288722992,5.668,1.03,106.0,580.0
101.20475602149963,5.672,0.94,96.0,560.0
102.20920443534851,5.672,0.93,105.0,580.0
103.21593689918518,5.672,1.05,107.0,620.0
104.22269129753113,5.668,0.98,91.0,520.0
105.2267017364502,5.672,0.95,108.0,620.0
106.23441410064697,5.668,1.09,104.0,580.0
107.23827290534973,5.672,0.96,96.0,560.0
108.24515461921692,5.664,1.08,110.0,620.0
109.25248122215271,5.668,1.08,97.0,560.0
110.25670790672302,5.672,0.96,96.0,560.0
111.26374936103821,5.668,1.05,108.0,620.0
112.26830863952637,5.664,1.06,108.0,620.0
113.27540993690491,5.672,0.95,93.0,520.0
114.27965331077576,5.668,1.08,108.0,620.0
115.28603219985962,5.672,0.95,95.0,520.0
116.29293537139893,5.668,0.95,94.0,520.0
117.29701924324036,5.672,0.99,95.0,520.0
118.3046007156372,5.668,1.05,104.0,580.0
119.30907726287842,5.672,0.94,93.0,520.0
120.31612133979797,5.668,0.92,94.0,520.0
121.3225326538086,5.664,1.07,107.0,580.0
122.3269202709198,5.664,1.07,107.0,580.0
123.33424878120422,5.664,1.07,109.0,620.0
124.3384804725647,5.664,1.06,106.0,580.0
125.3453004360199,5.668,0.98,95.0,520.0
126.34927940368652,5.664,0.96,106.0,580.0
127.35704278945923,5.664,1.03,102.0,580.0
128.3631443977356,5.668,0.94,96.0,560.0
129.3680911064148,5.664,1.07,105.0,580.0
130.37461757659912,5.664,1.12,94.0,520.0
131.37960290908813,5.668,0.94,93.0,520.0
132.3856589794159,5.66,1.04,105.0,580.0
133.39327478408813,5.668,0.97,98.0,560.0
134.39789509773254,5.668,0.93,94.0,520.0
135.40393090248108,5.66,1.04,107.0,580.0
136.40861535072327,5.664,0.94,94.0,520.0
137.41540956497192,5.668,0.92,93.0,520.0
138.42032527923584,5.66,1.08,106.0,580.0
139.42638325691223,5.664,0.96,94.0,520.0
140.43341994285583,5.668,0.93,94.0,520.0
141.43846821784973,5.66,1.09,108.0,620.0
142.4447886943817,5.668,0.95,91.0,520.0
143.44949960708618,5.664,0.93,94.0,520.0
144.45665979385376,5.66,1.06,105.0,580.0
145.46307802200317,5.664,0.95,95.0,520.0
146.4674322605133,5.664,0.97,95.0,520.0
147.4747772216797,5.66,1.07,106.0,580.0
148.4791362285614,5.656,1.05,104.0,580.0
149.48600029945374,5.66,1.02,109.0,620.0
150.4905128479004,5.66,1.08,107.0,580.0
151.49762868881226,5.66,1.05,108.0,620.0
152.50374817848206,5.66,1.02,107.0,580.0
153.50818014144897,5.66,1.06,104.0,580.0
154.5156226158142,5.664,0.97,99.0,560.0
155.52026224136353,5.664,0.93,95.0,520.0
156.52667140960693,5.656,1.04,106.0,580.0
157.53405237197876,5.66,0.94,98.0,560.0
158.53758358955383,5.66,1.03,103.0,580.0
159.5446081161499,5.66,1.09,106.0,580.0
160.54997086524963,5.664,0.94,95.0,520.0
161.55642795562744,5.66,0.94,93.0,520.0
162.56014704704285,5.656,1.06,109.0,620.0
163.56779432296753,5.66,0.93,94.0,520.0
164.57436633110046,5.66,0.97,95.0,520.0
165.57841515541077,5.656,1.05,106.0,580.0
166.58585333824158,5.664,0.93,95.0,520.0
167.59023809432983,5.66,0.97,94.0,520.0
168.5969910621643,5.656,1.02,105.0,580.0
169.60414099693298,5.66,0.95,95.0,520.0
170.60786867141724,5.66,0.92,95.0,520.0
171.6151304244995,5.656,1.05,106.0,580.0
172.6191804409027,5.66,0.95,94.0,520.0
173.62619066238403,5.66,0.95,94.0,520.0
174.6309630870819,5.656,1.1,107.0,580.0
175.63757872581482,5.66,0.96,95.0,520.0
176.6446509361267,5.66,0.95,101.0,560.0
177.64952158927917,5.656,1.05,109.0,620.0
178.65565037727356,5.66,0.94,93.0,520.0
179.66044735908508,5.656,1.08,108.0,620.0
180.6673984527588,5.656,1.07,105.0,580.0
181.67383527755737,5.66,0.94,102.0,580.0
182.67839407920837,5.656,0.97,110.0,620.0
183.68599224090576,5.652,1.08,110.0,620.0
184.690336227417,5.656,1.06,107.0,580.0
185.69677138328552,5.656,1.09,109.0,620.0
