Time,Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
117.30635356903076,5.76,1.08,110.0,620.0
118.31364345550537,5.764,0.99,97.0,560.0
119.31793570518494,5.764,0.98,100.0,580.0
120.32423424720764,5.756,1.07,112.0,660.0
121.3314139842987,5.756,0.97,98.0,560.0
122.33570981025696,5.76,0.96,99.0,560.0
123.3430004119873,5.756,1.09,110.0,620.0
124.3482940196991,5.76,1.01,99.0,560.0
125.35458493232727,5.756,1.07,114.0,660.0
126.3589985370636,5.752,1.09,111.0,620.0
127.36560726165771,5.76,0.95,101.0,580.0
128.37294554710388,5.756,0.98,110.0,620.0
129.37809920310974,5.756,1.09,110.0,620.0
130.38430070877075,5.76,0.99,96.0,560.0
131.38997197151184,5.752,1.09,107.0,620.0
132.39599609375,5.756,1.12,100.0,580.0
133.4022877216339,5.756,0.98,97.0,560.0
134.4080457687378,5.752,1.08,110.0,620.0
135.4140739440918,5.748,1.1,110.0,620.0
136.42007446289062,5.756,0.98,98.0,560.0
137.4260504245758,5.752,1.13,109.0,620.0
138.43139576911926,5.756,0.98,97.0,560.0
139.43790864944458,5.76,0.97,99.0,560.0
140.44330620765686,5.752,1.05,111.0,620.0
141.44701838493347,5.752,1.06,111.0,620.0
142.45512199401855,5.756,0.98,100.0,580.0
143.46138668060303,5.752,1.1,109.0,620.0
144.46592664718628,5.756,0.98,98.0,560.0
145.47294545173645,5.756,0.98,97.0,560.0
146.4771008491516,5.752,1.07,114.0,660.0
147.48530983924866,5.752,1.12,110.0,620.0
148.49103116989136,5.752,1.0,100.0,580.0
149.4968409538269,5.752,0.96,109.0,620.0
150.50329303741455,5.748,1.12,113.0,660.0
151.5083236694336,5.752,0.97,99.0,560.0
152.51444149017334,5.748,1.1,112.0,660.0
153.52075004577637,5.748,1.09,110.0,620.0
154.52660155296326,5.752,0.99,98.0,560.0
155.53162217140198,5.748,1.12,110.0,620.0
156.53622698783875,5.752,1.0,97.0,560.0
157.54391813278198,5.752,0.99,97.0,560.0
158.5499095916748,5.748,1.1,113.0,660.0
159.55595421791077,5.752,0.96,99.0,560.0
160.56232810020447,5.752,0.98,97.0,560.0
161.56726026535034,5.748,1.12,109.0,620.0
162.5736072063446,5.752,0.95,97.0,560.0
163.57933163642883,5.752,0.99,97.0,560.0
164.58486318588257,5.748,1.08,109.0,620.0
165.5909662246704,5.752,0.96,97.0,560.0
166.59662675857544,5.748,1.07,109.0,620.0
167.60296416282654,5.744,1.08,110.0,620.0
168.60931873321533,5.752,0.97,99.0,560.0
169.61471939086914,5.748,1.0,98.0,560.0
170.62120962142944,5.748,1.1,110.0,620.0
171.62665152549744,5.748,1.07,108.0,620.0
172.63290166854858,5.748,0.97,108.0,620.0
173.63760423660278,5.744,1.08,107.0,620.0
174.64476776123047,5.748,1.0,99.0,560.0
175.6503119468689,5.748,0.96,98.0,560.0
176.65514659881592,5.744,1.08,111.0,620.0
177.662091255188,5.744,1.07,97.0,560.0
178.6672170162201,5.744,1.08,107.0,620.0
179.67426681518555,5.744,1.12,108.0,620.0
180.68021726608276,5.744,1.09,100.0,580.0
181.6853539943695,5.74,1.14,108.0,620.0
182.69229817390442,5.748,0.97,100.0,580.0
183.69687628746033,5.744,0.94,97.0,560.0
184.70315599441528,5.744,1.09,110.0,620.0
185.710134267807,5.744,1.0,97.0,560.0
186.71537065505981,5.748,0.97,97.0,560.0
187.72100734710693,5.748,1.0,99.0,560.0
188.727032661438,5.74,1.08,110.0,620.0
189.733332157135,5.748,0.98,99.0,560.0
190.73931622505188,5.74,1.06,110.0,620.0
191.745112657547,5.744,0.97,98.0,560.0
192.75113153457642,5.744,0.97,97.0,560.0
193.7561228275299,5.744,0.99,99.0,560.0
194.76173281669617,5.74,1.08,110.0,620.0
195.7690930366516,5.748,0.98,96.0,560.0
196.77407598495483,5.748,0.97,100.0,580.0
197.7800543308258,5.74,1.08,109.0,620.0
198.7856993675232,5.744,0.98,104.0,580.0
199.79215359687805,5.736,1.02,111.0,620.0
200.79880738258362,5.744,1.09,107.0,620.0
201.80419898033142,5.744,1.0,107.0,620.0
202.8103175163269,5.74,1.04,113.0,660.0
203.81560063362122,5.744,1.07,98.0,560.0
204.82187366485596,5.744,0.97,98.0,560.0
205.82715010643005,5.736,1.11,108.0,620.0
206.83299660682678,5.744,1.03,100.0,580.0
207.83957433700562,5.744,0.96,99.0,560.0
208.8452911376953,5.74,1.08,109.0,620.0
209.85148811340332,5.744,1.01,101.0,580.0
210.85669827461243,5.744,0.99,99.0,560.0
211.86297869682312,5.736,1.12,108.0,620.0
212.869140625,5.744,0.95,99.0,560.0
213.87271809577942,5.74,1.0,97.0,560.0
214.88040399551392,5.736,1.12,110.0,620.0
215.8864665031433,5.74,0.96,96.0,560.0
216.89247584342957,5.744,1.0,97.0,560.0
217.89859890937805,5.736,1.07,110.0,620.0
218.90441370010376,5.74,0.97,99.0,560.0
219.91033029556274,5.74,0.95,99.0,560.0
220.91502714157104,5.732,1.08,112.0,660.0
221.92143297195435,5.74,0.97,98.0,560.0
222.92820572853088,5.74,1.0,100.0,580.0
223.93339371681213,5.736,1.1,113.0,660.0
224.93973541259766,5.736,1.05,97.0,560.0
225.94397282600403,5.732,1.12,110.0,620.0
226.9514217376709,5.732,1.07,106.0,620.0
227.95785641670227,5.74,0.98,112.0,660.0
228.96197247505188,5.736,1.1,109.0,620.0
229.96881651878357,5.736,0.98,98.0,560.0
230.9738631248474,5.736,0.99,98.0,560.0
231.98043370246887,5.732,1.07,110.0,620.0
232.98722529411316,5.74,1.12,95.0,560.0
233.99214696884155,5.74,0.99,99.0,560.0
234.99924898147583,5.736,0.95,95.0,560.0
236.0048384666443,5.732,1.08,106.0,620.0
237.01032376289368,5.736,0.97,99.0,560.0
238.0157630443573,5.732,1.08,108.0,620.0
239.02137732505798,5.736,1.02,97.0,560.0
240.0292148590088,5.736,0.98,98.0,560.0
241.03336000442505,5.732,0.98,97.0,560.0
242.04021763801575,5.732,1.06,112.0,660.0
243.044903755188,5.736,1.0,99.0,560.0
244.0511977672577,5.736,0.96,98.0,560.0
245.05808091163635,5.732,1.07,108.0,620.0
246.06334900856018,5.736,0.96,99.0,560.0
247.06891417503357,5.732,0.99,108.0,620.0
